iter	Passed	Remaining
580	9998	7210
581	10018	7195
582	10038	7180
583	10060	7166
584	10084	7154
585	10107	7141
586	10130	7127
587	10152	7114
588	10173	7099
589	10194	7084
590	10216	7070
591	10235	7053
592	10257	7040
593	10280	7026
594	10302	7012
595	10324	6998
596	10345	6983
597	10366	6969
598	10387	6953
599	10409	6939
600	10430	6924
601	10450	6908
602	10471	6894
603	10492	6879
604	10513	6864
605	10536	6850
606	10553	6832
607	10570	6814
608	10587	6797
609	10603	6779
610	10618	6760
611	10633	6741
612	10648	6722
613	10662	6703
614	10678	6684
615	10696	6668
616	10715	6651
617	10733	6634
618	10749	6616
619	10767	6599
620	10782	6580
621	10798	6562
622	10813	6543
623	10829	6525
624	10844	6506
625	10860	6488
626	10876	6470
627	10892	6452
628	10910	6435
629	10926	6417
630	10940	6397
631	10955	6379
632	10969	6359
633	10984	6341
634	11000	6322
635	11014	6304
636	11030	6285
637	11045	6267
638	11059	6248
639	11075	6230
640	11090	6211
641	11105	6192
642	11119	6173
643	11136	6156
644	11152	6138
645	11170	6121
646	11187	6103
647	11202	6085
648	11219	6067
649	11236	6050
650	11254	6033
651	11269	6014
652	11284	5996
653	11299	5977
654	11315	5960
655	11332	5942
656	11349	5925
657	11366	5907
658	11382	5890
659	11398	5871
660	11414	5853
661	11428	5835
662	11446	5818
663	11462	5800
664	11476	5781
665	11492	5763
666	11508	5745
667	11525	5728
668	11545	5712
669	11564	5695
670	11580	5677
671	11597	5660
672	11614	5643
673	11631	5626
674	11651	5609
675	11667	5592
676	11683	5574
677	11698	5555
678	11714	5538
679	11731	5520
680	11749	5503
681	11766	5486
682	11783	5469
683	11800	5451
684	11817	5434
685	11834	5416
686	11849	5398
687	11868	5382
688	11884	5364
689	11900	5346
690	11916	5328
691	11932	5310
692	11949	5293
693	11966	5276
694	11983	5259
695	12000	5241
696	12015	5223
697	12031	5205
698	12048	5188
699	12066	5171
700	12082	5153
701	12097	5135
702	12114	5118
703	12131	5100
704	12147	5082
705	12164	5065
706	12180	5047
707	12196	5030
708	12212	5012
709	12228	4994
710	12242	4976
711	12258	4958
712	12274	4940
713	12290	4923
714	12308	4906
715	12324	4888
716	12339	4870
717	12354	4852
718	12372	4835
719	12387	4817
720	12404	4800
721	12420	4782
722	12437	4765
723	12454	4747
724	12471	4730
725	12489	4713
726	12506	4696
727	12524	4679
728	12541	4662
729	12559	4645
730	12575	4627
731	12595	4611
732	12612	4594
733	12629	4576
734	12648	4560
735	12665	4543
736	12683	4526
737	12702	4509
738	12720	4492
739	12736	4474
740	12751	4457
741	12767	4439
742	12784	4421
743	12799	4404
744	12814	4386
745	12829	4368
746	12846	4350
747	12861	4333
748	12876	4315
749	12893	4297
750	12911	4280
751	12928	4263
752	12947	4247
753	12965	4230
754	12983	4213
755	13004	4197
756	13022	4180
757	13038	4162
758	13056	4145
759	13073	4128
760	13090	4111
761	13106	4093
762	13122	4076
763	13138	4058
764	13156	4041
765	13172	4023
766	13187	4005
767	13203	3988
768	13218	3970
769	13234	3953
770	13250	3935
771	13268	3918
772	13283	3900
